Сайт,"id цели",Название,"Тип цели",Ретаргетинг,"Способ создания","Ценность цели","Условие цели",URL
gemioplastika.ru,67939861,"callme-header (до 18.11 десктоп)","по URL страницы",0,user,0,содержит,/tilda/form164339597/submitted
gemioplastika.ru,201822073,"Уникальный звонок","целевой звонок",0,auto,0
gemioplastika.ru,201822076,"Уникально-целевой звонок","целевой звонок",0,auto,0
gemioplastika.ru,201822079,"Целевой звонок","целевой звонок",0,auto,0
gemioplastika.ru,67940050,"callme-header моб до 18.11","по URL страницы",0,user,0,содержит,/tilda/form164340040/submitted
gemioplastika.ru,67942003,"callme1 (до 18.11 десктоп)","по URL страницы",0,user,0,содержит,/tilda/form156404039/submitted
gemioplastika.ru,67942015,"callme2 (до 18.11 десктоп)","по URL страницы",0,user,0,содержит,/tilda/form156404082/submitted
gemioplastika.ru,67942018,"callme3 моб до 18.11","по URL страницы",0,user,0,содержит,/tilda/form156423470/submitted
gemioplastika.ru,67942021,"callme4 моб до 18.11","по URL страницы",0,user,0,содержит,/tilda/form156423476/submitted
gemioplastika.ru,67942027,"Получить бесплатную консультацию (до 18.11 десктоп)","по URL страницы",0,user,0,содержит,/tilda/form142859193/submitted
gemioplastika.ru,67942039,"Получить бесплатную консультацию (моб) до 18.11","по URL страницы",0,user,0,содержит,/tilda/form142859190/submitted
gemioplastika.ru,67942048,"Записаться на прием (до 18.11 десктоп)","по URL страницы",0,user,0,содержит,/tilda/form142859198/submitted
gemioplastika.ru,67942051,"Записаться на прием моб до 18.11","по URL страницы",0,user,0,содержит,/tilda/form156426205/submitted
gemioplastika.ru,67942057,"Записаться на консультацию (до 18.11 десктоп)","по URL страницы",0,user,0,содержит,/tilda/form142859210/submitted
gemioplastika.ru,67942066,"Записаться на консультацию моб до 18.11","по URL страницы",0,user,0,содержит,/tilda/form156431416/submitted
gemioplastika.ru,145151524,"Заявка из Контактов","по URL страницы",0,user,0,содержит,/tilda/form251617207/submitted
gemioplastika.ru,67942090,"callme-footer (до 18.11 десктоп)","по URL страницы",0,user,0,содержит,/tilda/form163373940/submitted
gemioplastika.ru,67942096,"callme-footer моб до 18.11","по URL страницы",0,user,0,содержит,/tilda/form164352995/submitted
gemioplastika.ru,155853247,Звонок,звонок,0,auto,0
gemioplastika.ru,227654006,"Автоцель: отправка формы","отправка формы",0,auto,0
gemioplastika.ru,227758431,"Автоцель: клик по номеру телефона","клик по номеру телефона",0,auto,0
gemioplastika.ru,227914670,"Автоцель Jivo: автоприглашение в чат",JavaScript-событие,0,auto,0,совпадает,Jivo_Proactive_invitation_accepted
gemioplastika.ru,228091880,"Автоцель Jivo: запуск чата клиентом",JavaScript-событие,0,auto,0,совпадает,Jivo_Client_initiate_chat
gemioplastika.ru,228202602,"Автоцель Jivo: офлайн-сообщение",JavaScript-событие,0,auto,0,совпадает,Jivo_Offline_message_sent
gemioplastika.ru,228636782,"Автоцель: скачивание файла","скачивание файла",0,auto,0
bezdiastaza.ru,68053081,"Десктоп Хедер","по URL страницы",0,user,0,содержит,/tilda/form164753660/submitted
bezdiastaza.ru,201817600,"Уникальный звонок","целевой звонок",0,auto,0
bezdiastaza.ru,201817603,"Уникально-целевой звонок","целевой звонок",0,auto,0
bezdiastaza.ru,201817606,"Целевой звонок","целевой звонок",0,auto,0
bezdiastaza.ru,68053108,"Моб Хедер","по URL страницы",0,user,0,содержит,/tilda/form164753661/submitted
bezdiastaza.ru,68053129,"Десктоп Форма1","по URL страницы",0,user,0,содержит,/tilda/form164753338/submitted
bezdiastaza.ru,68053147,"Десктоп Форма2","по URL страницы",0,user,0,содержит,/tilda/form164753339/submitted
bezdiastaza.ru,68053162,"Моб Форма3","по URL страницы",0,user,0,содержит,/tilda/form164753340/submitted
bezdiastaza.ru,68053174,"Моб Форма4","по URL страницы",0,user,0,содержит,/tilda/form164753341/submitted
bezdiastaza.ru,68053201,"Десктоп Форма5","по URL страницы",0,user,0,содержит,/tilda/form156460485/submitted
bezdiastaza.ru,68053207,"Моб Форма6","по URL страницы",0,user,0,содержит,/tilda/form164232311/submitted
bezdiastaza.ru,68053219,"Десктоп Форма7","по URL страницы",0,user,0,содержит,/tilda/form156544632/submitted
bezdiastaza.ru,68053222,"Моб Форма8","по URL страницы",0,user,0,содержит,/tilda/form164235959/submitted
bezdiastaza.ru,68053225,"Десктоп Форма9","по URL страницы",0,user,0,содержит,/tilda/form157075276/submitted
bezdiastaza.ru,68053228,"Моб Форма10","по URL страницы",0,user,0,содержит,/tilda/form164237265/submitted
bezdiastaza.ru,68053231,"Десктоп Футер","по URL страницы",0,user,0,содержит,/tilda/form164244411/submitted
bezdiastaza.ru,68053234,"Моб Футер","по URL страницы",0,user,0,содержит,/tilda/form164244502/submitted
bezdiastaza.ru,155853235,Звонок,звонок,0,auto,0
bezdiastaza.ru,227902285,"Автоцель Jivo: автоприглашение в чат",JavaScript-событие,0,auto,0,совпадает,Jivo_Proactive_invitation_accepted
bezdiastaza.ru,227918407,"Автоцель: отправка формы","отправка формы",0,auto,0
bezdiastaza.ru,228046445,"Автоцель: клик по номеру телефона","клик по номеру телефона",0,auto,0
bezdiastaza.ru,228450822,"Автоцель Jivo: запуск чата клиентом",JavaScript-событие,0,auto,0,совпадает,Jivo_Client_initiate_chat
bezdiastaza.ru,228450823,"Автоцель Jivo: офлайн-сообщение",JavaScript-событие,0,auto,0,совпадает,Jivo_Offline_message_sent
klinikaboli.ru,36996581,Звонок,звонок,0,auto,0
klinikaboli.ru,201649525,"Уникальный звонок","целевой звонок",0,auto,0
klinikaboli.ru,201649528,"Уникально-целевой звонок","целевой звонок",0,auto,0
klinikaboli.ru,201649531,"Целевой звонок","целевой звонок",0,auto,0
klinikaboli.ru,39555217,"Обратный звонок","по URL страницы",0,user,0,содержит,/tilda/form43453901/submitted/
klinikaboli.ru,39555247,"Оставьте номер врачи 1-ой Градской Форма 1","по URL страницы",0,user,0,содержит,/tilda/form42495716/submitted/
klinikaboli.ru,39555292,"Оставьте ваш номер врачи 1-ой Градской Форма 2","по URL страницы",0,user,0,содержит,/tilda/form43476935/submitted/
klinikaboli.ru,39555307,"Демократичные цены","по URL страницы",0,user,0,содержит,/tilda/form184372095/submitted/
klinikaboli.ru,39555343,"Записаться на прием","по URL страницы",0,user,0,содержит,/tilda/form43556791/submitted/
klinikaboli.ru,39555391,"Подвал Связаться с нами","по URL страницы",0,user,0,содержит,/tilda/form43661934/submitted/
klinikaboli.ru,99357637,"Записаться Десктоп Хедер","по URL страницы",0,user,0,содержит,/tilda/form184460958/submitted/
klinikaboli.ru,99357640,"Записаться Моб Хедер","по URL страницы",0,user,0,содержит,/tilda/form184461501/submitted/
klinikaboli.ru,99357730,"Десктоп Форма1","по URL страницы",0,user,0,содержит,/tilda/form43453901/submitted/
